EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
7.0,49.0,7,302692.6987060998,30.0,0,2005,261043  _1.0
31.0,961.0,12,762073.3826247689,60.0,0,2005,261229  _1.0
29.0,841.0,14,762073.3826247689,60.0,0,2005,261229  _1.0
6.0,36.0,7,762073.3826247689,60.0,0,2005,261229  _1.0
3.0,9.0,3,762073.3826247689,60.0,0,2005,261229  _1.0
51.0,2601.0,7,199421.07208872458,42.0,0,2005,261341  _1.0
25.0,625.0,9,199421.07208872458,42.0,0,2005,261341  _1.0
26.0,676.0,12,213665.43438077634,60.0,0,2005,261414  _1.0
22.0,484.0,9,213665.43438077634,60.0,0,2005,261414  _1.0
1.0,1.0,3,213665.43438077634,60.0,0,2005,261414  _1.0
47.0,2209.0,14,462941.77449168207,60.0,0,2005,261544  _1.0
44.0,1936.0,14,462941.77449168207,60.0,0,2005,261544  _1.0
18.0,324.0,17,462941.77449168207,60.0,0,2005,261544  _1.0
16.0,256.0,12,462941.77449168207,60.0,0,2005,261544  _1.0
38.0,1444.0,9,178054.52865064694,48.0,1,2005,261551  _1.0
36.0,1296.0,14,178054.52865064694,48.0,1,2005,261551  _1.0
12.0,144.0,7,178054.52865064694,48.0,1,2005,261551  _1.0
4.0,16.0,3,178054.52865064694,48.0,1,2005,261551  _1.0
31.0,961.0,0,640996.303142329,40.0,0,2005,261589  _1.0
26.0,676.0,14,640996.303142329,40.0,0,2005,261589  _1.0
2.0,4.0,3,640996.303142329,40.0,0,2005,261589  _1.0
40.0,1600.0,9,478610.57301293896,45.0,0,2005,261607  _1.0
37.0,1369.0,9,478610.57301293896,45.0,0,2005,261607  _1.0
13.0,169.0,12,478610.57301293896,45.0,0,2005,261607  _1.0
9.0,81.0,7,478610.57301293896,45.0,0,2005,261607  _1.0
