CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
TQRMNORXUHLOSTCDEIJAH00855721,1.0,5,1,17.0,5.0,1.0,3,3,3.0,180000.0,720000.0,0.0,0.0,,2025,TQRMNORXUHLOSTCDEIJAH00855721_1.0,1.04,2.95,1077272.15,1,17.0,289.0,9,720000.0,,,4,47.0
TQRMNORXUHLOSTCDEIJAH00855721,1.0,6,1,8.0,5.0,1.0,1,4,3.0,180000.0,720000.0,0.0,0.0,,2025,TQRMNORXUHLOSTCDEIJAH00855721_1.0,0.68,2.95,1077272.15,1,8.0,64.0,3,720000.0,,,4,47.0
TQRMNORXUHLOSTCDEIJAH00855721,1.0,7,2,2.0,5.0,1.0,7,4,5.0,180000.0,720000.0,0.0,0.0,,2025,TQRMNORXUHLOSTCDEIJAH00855721_1.0,0.46,2.95,1077272.15,1,2.0,4.0,0,720000.0,,,4,47.0
TQRMNOSUWHJOPOCDEIJAH00877969,1.0,1,1,58.0,3.0,1.0,3,1,0.0,500000.0,1500000.0,1200000.0,3.0,2.0,2025,TQRMNOSUWHJOPOCDEIJAH00877969_1.0,1.0,2.78,1015192.06,0,58.0,3364.0,9,1500000.0,,,3,36.0
TQRMNOSUWHJOPOCDEIJAH00877969,1.0,2,2,22.0,5.0,4.0,4,1,0.0,500000.0,1500000.0,300000.0,2.0,1.0,2025,TQRMNOSUWHJOPOCDEIJAH00877969_1.0,0.76,2.78,1015192.06,0,22.0,484.0,12,1500000.0,,,3,36.0
TQRMNOSUWHJOPOCDEIJAH00877969,1.0,3,1,20.0,5.0,4.0,4,2,0.0,500000.0,1500000.0,0.0,3.0,,2025,TQRMNOSUWHJOPOCDEIJAH00877969_1.0,1.02,2.78,1015192.06,0,20.0,400.0,12,1500000.0,,,3,36.0
TQRMNOUYRHMONSCDEIJAH00877970,1.0,1,1,62.0,4.0,4.0,1,1,0.0,375200.0,1876000.0,400000.0,2.0,2.0,2025,TQRMNOUYRHMONSCDEIJAH00877970_1.0,0.83,4.140000000000001,1511832.7800000005,0,62.0,3844.0,3,1876000.0,,,5,84.0
TQRMNOUYRHMONSCDEIJAH00877970,1.0,2,1,23.0,5.0,4.0,5,3,3.0,375200.0,1876000.0,0.0,0.0,,2025,TQRMNOUYRHMONSCDEIJAH00877970_1.0,1.02,4.140000000000001,1511832.7800000005,0,23.0,529.0,14,1876000.0,,,5,84.0
TQRMNOUYRHMONSCDEIJAH00877970,1.0,3,2,22.0,5.0,1.0,5,1,0.0,375200.0,1876000.0,1200000.0,3.0,2.0,2025,TQRMNOUYRHMONSCDEIJAH00877970_1.0,0.76,4.140000000000001,1511832.7800000005,0,22.0,484.0,14,1876000.0,,,5,84.0
TQRMNOUYRHMONSCDEIJAH00877970,1.0,4,2,19.0,5.0,4.0,5,3,3.0,375200.0,1876000.0,0.0,0.0,,2025,TQRMNOUYRHMONSCDEIJAH00877970_1.0,0.76,4.140000000000001,1511832.7800000005,0,19.0,361.0,14,1876000.0,,,5,84.0
TQRMNOUYRHMONSCDEIJAH00877970,1.0,5,2,17.0,5.0,1.0,1,3,3.0,375200.0,1876000.0,0.0,0.0,,2025,TQRMNOUYRHMONSCDEIJAH00877970_1.0,0.77,4.140000000000001,1511832.7800000005,0,17.0,289.0,3,1876000.0,,,5,84.0
TQRMNOPWTHJMTRCDEIJAH00872753,1.0,1,1,64.0,3.0,1.0,4,1,0.0,880000.0,880000.0,880000.0,3.0,2.0,2025,TQRMNOPWTHJMTRCDEIJAH00872753_1.0,0.83,0.83,303096.91,0,64.0,4096.0,12,880000.0,,,1,40.0
