"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2014","1,041.00","1,041.00","1,041.00","1,041.00","","-1.33%"
"10/01/2014","1,055.00","1,055.00","1,055.00","1,055.00","","-0.75%"
"09/30/2014","1,063.00","1,063.00","1,063.00","1,063.00","","0.09%"
"09/29/2014","1,062.00","1,062.00","1,062.00","1,062.00","","1.24%"
"09/26/2014","1,049.00","1,049.00","1,049.00","1,049.00","","1.06%"
"09/25/2014","1,038.00","1,038.00","1,038.00","1,038.00","","-1.70%"
"09/24/2014","1,056.00","1,056.00","1,056.00","1,056.00","","-1.58%"
"09/23/2014","1,073.00","1,073.00","1,073.00","1,073.00","","-0.37%"
"09/22/2014","1,077.00","1,077.00","1,077.00","1,077.00","","0.19%"
"09/19/2014","1,075.00","1,075.00","1,075.00","1,075.00","","-1.29%"
"09/18/2014","1,089.00","1,089.00","1,089.00","1,089.00","","-3.11%"
"09/17/2014","1,124.00","1,124.00","1,124.00","1,124.00","","-2.26%"
"09/16/2014","1,150.00","1,150.00","1,150.00","1,150.00","","-1.96%"
"09/15/2014","1,173.00","1,173.00","1,173.00","1,173.00","","-0.68%"
"09/12/2014","1,181.00","1,181.00","1,181.00","1,181.00","","-0.42%"
"09/11/2014","1,186.00","1,186.00","1,186.00","1,186.00","","-0.92%"
"09/10/2014","1,197.00","1,197.00","1,197.00","1,197.00","","0.00%"
"09/09/2014","1,197.00","1,197.00","1,197.00","1,197.00","","2.66%"
"09/08/2014","1,166.00","1,166.00","1,166.00","1,166.00","","0.95%"
"09/05/2014","1,155.00","1,155.00","1,155.00","1,155.00","","0.70%"
"09/04/2014","1,147.00","1,147.00","1,147.00","1,147.00","","0.44%"
"09/03/2014","1,142.00","1,142.00","1,142.00","1,142.00","","-0.61%"
"09/02/2014","1,149.00","1,149.00","1,149.00","1,149.00","","-0.17%"
"09/01/2014","1,151.00","1,151.00","1,151.00","1,151.00","","0.35%"
"08/29/2014","1,147.00","1,147.00","1,147.00","1,147.00","","2.50%"
"08/28/2014","1,119.00","1,119.00","1,119.00","1,119.00","","5.27%"
"08/27/2014","1,063.00","1,063.00","1,063.00","1,063.00","","-0.65%"
"08/26/2014","1,070.00","1,070.00","1,070.00","1,070.00","","-1.65%"
"08/22/2014","1,088.00","1,088.00","1,088.00","1,088.00","","-0.73%"
"08/21/2014","1,096.00","1,096.00","1,096.00","1,096.00","","3.30%"
"08/20/2014","1,061.00","1,061.00","1,061.00","1,061.00","","2.02%"
"08/19/2014","1,040.00","1,040.00","1,040.00","1,040.00","","-0.19%"
"08/18/2014","1,042.00","1,042.00","1,042.00","1,042.00","","2.66%"
"08/15/2014","1,015.00","1,015.00","1,015.00","1,015.00","","7.75%"
"08/14/2014","942.00","942.00","942.00","942.00","","8.15%"
"08/13/2014","871.00","871.00","871.00","871.00","","4.19%"
"08/12/2014","836.00","836.00","836.00","836.00","","5.56%"
"08/11/2014","792.00","792.00","792.00","792.00","","1.93%"
"08/08/2014","777.00","777.00","777.00","777.00","","1.57%"
"08/07/2014","765.00","765.00","765.00","765.00","","0.79%"
"08/06/2014","759.00","759.00","759.00","759.00","","0.53%"
"08/05/2014","755.00","755.00","755.00","755.00","","0.27%"
"08/04/2014","753.00","753.00","753.00","753.00","","0.27%"
"08/01/2014","751.00","751.00","751.00","751.00","","-0.53%"
"07/31/2014","755.00","755.00","755.00","755.00","","0.13%"
"07/30/2014","754.00","754.00","754.00","754.00","","0.94%"
"07/29/2014","747.00","747.00","747.00","747.00","","0.54%"
"07/28/2014","743.00","743.00","743.00","743.00","","0.54%"
"07/25/2014","739.00","739.00","739.00","739.00","","0.96%"
"07/24/2014","732.00","732.00","732.00","732.00","","0.69%"
"07/23/2014","727.00","727.00","727.00","727.00","","0.55%"
"07/22/2014","723.00","723.00","723.00","723.00","","-0.14%"
"07/21/2014","724.00","724.00","724.00","724.00","","-1.09%"
"07/18/2014","732.00","732.00","732.00","732.00","","-0.81%"
"07/17/2014","738.00","738.00","738.00","738.00","","-2.25%"
