date,open,high,low,close,volume,commodity
2014-10-09,974.0,974.0,974.0,974.0,0,Baltic_Dry_Index
2014-10-10,963.0,963.0,963.0,963.0,0,Baltic_Dry_Index
2014-10-13,954.0,954.0,954.0,954.0,0,Baltic_Dry_Index
2014-10-14,948.0,948.0,948.0,948.0,0,Baltic_Dry_Index
2014-10-15,935.0,935.0,935.0,935.0,0,Baltic_Dry_Index
2014-10-16,930.0,930.0,930.0,930.0,0,Baltic_Dry_Index
2014-10-17,944.0,944.0,944.0,944.0,0,Baltic_Dry_Index
2014-10-20,973.0,973.0,973.0,973.0,0,Baltic_Dry_Index
2014-10-21,1090.0,1090.0,1090.0,1090.0,0,Baltic_Dry_Index
2014-10-22,1136.0,1136.0,1136.0,1136.0,0,Baltic_Dry_Index
2014-10-23,1155.0,1155.0,1155.0,1155.0,0,Baltic_Dry_Index
2014-10-24,1192.0,1192.0,1192.0,1192.0,0,Baltic_Dry_Index
2014-10-27,1285.0,1285.0,1285.0,1285.0,0,Baltic_Dry_Index
2014-10-28,1395.0,1395.0,1395.0,1395.0,0,Baltic_Dry_Index
2014-10-29,1428.0,1428.0,1428.0,1428.0,0,Baltic_Dry_Index
2014-10-30,1424.0,1424.0,1424.0,1424.0,0,Baltic_Dry_Index
2014-10-31,1428.0,1428.0,1428.0,1428.0,0,Baltic_Dry_Index
2014-11-03,1456.0,1456.0,1456.0,1456.0,0,Baltic_Dry_Index
2014-11-04,1484.0,1484.0,1484.0,1484.0,0,Baltic_Dry_Index
2014-11-05,1464.0,1464.0,1464.0,1464.0,0,Baltic_Dry_Index
2014-11-06,1436.0,1436.0,1436.0,1436.0,0,Baltic_Dry_Index
2014-11-07,1437.0,1437.0,1437.0,1437.0,0,Baltic_Dry_Index
2014-11-10,1418.0,1418.0,1418.0,1418.0,0,Baltic_Dry_Index
2014-11-11,1370.0,1370.0,1370.0,1370.0,0,Baltic_Dry_Index
2014-11-12,1327.0,1327.0,1327.0,1327.0,0,Baltic_Dry_Index
2014-11-13,1264.0,1264.0,1264.0,1264.0,0,Baltic_Dry_Index
2014-11-14,1256.0,1256.0,1256.0,1256.0,0,Baltic_Dry_Index
2014-11-17,1264.0,1264.0,1264.0,1264.0,0,Baltic_Dry_Index
2014-11-18,1296.0,1296.0,1296.0,1296.0,0,Baltic_Dry_Index
2014-11-19,1306.0,1306.0,1306.0,1306.0,0,Baltic_Dry_Index
2014-11-20,1332.0,1332.0,1332.0,1332.0,0,Baltic_Dry_Index
2014-11-21,1324.0,1324.0,1324.0,1324.0,0,Baltic_Dry_Index
2014-11-24,1317.0,1317.0,1317.0,1317.0,0,Baltic_Dry_Index
