CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,pobre
215920  ,1.0,1.0,2,79,,,5,3,1.0,588.0,588.0,0.0,0.0,0.0,2005,215920  _1.0,0.63,0.63,129.1941,0
216016  ,1.0,1.0,2,65,,,5,2,0.0,308.0,308.0,0.0,0.0,0.0,2005,216016  _1.0,0.67,0.67,137.39690000000002,0
216168  ,1.0,1.0,1,53,,,5,1,0.0,767.0,2301.0,800.0,3.0,Sí,2005,216168  _1.0,1.0,2.52,516.7764,0
216168  ,1.0,2.0,2,51,,,5,1,0.0,767.0,2301.0,1000.0,3.0,No,2005,216168  _1.0,0.76,2.52,516.7764,0
216168  ,1.0,3.0,2,22,,,6,1,0.0,767.0,2301.0,501.0,3.0,No,2005,216168  _1.0,0.76,2.52,516.7764,0
216263  ,1.0,1.0,1,50,,,4,1,0.0,2700.0,2700.0,1900.0,3.0,No,2005,216263  _1.0,1.0,1.0,205.07,0
216536  ,1.0,1.0,1,49,,,3,1,0.0,425.0,1700.0,650.0,3.0,No,2005,216536  _1.0,1.0,3.56,730.0492,0
216536  ,1.0,2.0,2,44,,,5,3,4.0,425.0,1700.0,0.0,0.0,0.0,2005,216536  _1.0,0.77,3.56,730.0492,0
216536  ,1.0,3.0,1,25,,,5,1,0.0,425.0,1700.0,550.0,3.0,No,2005,216536  _1.0,1.02,3.56,730.0492,0
216536  ,1.0,4.0,2,16,,,4,3,3.0,425.0,1700.0,0.0,0.0,0.0,2005,216536  _1.0,0.77,3.56,730.0492,0
216754  ,1.0,1.0,1,45,,,6,1,0.0,1900.0,3800.0,2000.0,3.0,No,2005,216754  _1.0,1.0,2.02,414.2414,0
216754  ,1.0,2.0,1,21,,,6,1,0.0,1900.0,3800.0,800.0,3.0,No,2005,216754  _1.0,1.02,2.02,414.2414,0
217506  ,1.0,1.0,1,32,,,7,1,0.0,965.5,1931.0,1416.0,3.0,No,2005,217506  _1.0,1.0,1.77,362.9739,0
217506  ,1.0,2.0,2,30,,,7,1,0.0,965.5,1931.0,500.0,3.0,No,2005,217506  _1.0,0.77,1.77,362.9739,0
218001  ,1.0,1.0,1,37,,,6,1,0.0,750.0,1500.0,1500.0,2.0,Sí,2005,218001  _1.0,1.0,1.67,342.46689999999995,0
218001  ,1.0,2.0,2,67,,,3,3,4.0,750.0,1500.0,0.0,0.0,0.0,2005,218001  _1.0,0.67,1.67,342.46689999999995,0
